Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
gAAAAABkUtMdZ02sj45RnYwdRvbvVpVotDTEp1k23YtK2b8u-aAuEK1eocrijhUtFBsGXB0SG9go37frA7Q16WvEBeSlf1tArg==,gAAAAABkUtMdcnesIIzZbhQIzR3JqAGUsKSL4a0ZpMtiJqGkefjC1FzYeeuQdzuTjY9cuZkc0GdfKomYpwUtGVv5WPn01E235w==,American actor (1942-2016),Male,United States of America,Artist,1942,2016,natural causes,74
gAAAAABkUtMdwniKefkl2wypG22SjOIcfn-v6Ir45C87jCyRhiEsZOVXe7pbzsJhXT39uZsiA-Aba2NF8bdxxbEu-rco02i0PA==,gAAAAABkUtMdpP31_-K-JptZJouC4iVjJurS1Gdwcr1SqpZsb_wevml325h7oXls8FdMRdo-CGJIKcvKTr5Ecpg0xKK34PB0Og==,German photographer,Male,Germany,Artist,1952,2007,natural causes,55
gAAAAABkUtMdsrwbrnbTiTNVlaln2KZ6ac4Ujmlgdg_e5A-yh7ooK_Sfe1uB5vw6oh0ASw4MYDuYQ6ks2b81zVrEmC0F6GPMLw==,gAAAAABkUtMd3ozN4QXhrI7M9Hpd7RC-2MRth-Y5ogm8nk2z3TBL-wYd0ks1NBqXhcNmIe-zNh0dgj1shVHVusGe-6ZYxXYcLBYF2efO3qTmX23uEy2oMCE=,SS officer and businessman,Male,Germany,Businessperson,1886,1945,suicide,59
gAAAAABkUtMd4uxu2L0_KcDQluAsYh4dCYGhIta2a2UUdrb1ewCeGv9jO7v2ojXn4u2_g6bj4aTSVpLORmfOONm3kxf91Fw6OQ==,gAAAAABkUtMdtoJfY4ruXRfKRYWr-2d6IUqQrtPpPCZMba5M9x0DvKHoIWY99Darr8hJZeWl-S-QJbbZPjVgg0oXoxadAvynjzsWQAknxeldD6jPOEyNeJ4=,Austrian chess player,Male,Austria-Hungary,Athlete,1852,1894,suicide,42
gAAAAABkUtMd5-u3ITchgC_0x97mZWdL7Sz1o7DyuvG3TqAXDD0Bc2iwcJawQd5URFuqUcHD8J1yRTBR9l0oEcxG-ipko1DsAA==,gAAAAABkUtMdgCNxD3RwAiUL6xYDFLMPLq6xyr5Hp-bCrKDI_Dm1buFDyz5Xp_ee50tS6WSGznmwHbPPIm1TQsJPftj-13_0vw==,USSR politician (1937-2010),Male,Russia; Soviet Union,Politician,1937,2010,natural causes,73
gAAAAABkUtMeb6Q09BLxOtECba7lRswRwyNQU3olpbpR-aB3PCW0sQtQfrJ_g6gVUxefMiChXT2QfQXAs5c_aqkgPQoEslmZ9Q==,gAAAAABkUtMeiGX7kRvn0OEsRIhunLsqXCnG_t03ME94g12bgDVrtzY_9LUUv8tiBSpxfRfsS4Io8X0NIrHJUDWY1XX_H6xFxw==,Austrian-born film and stage actor (1902–1983),Male,Austria,Artist,1902,1983,suicide,81
gAAAAABkUtMeVIxB6hPlk3IhTBdOpqpC6GjqZwArR4u-Kg0wWUIPD9h6qfTW9MD60TSzBt7UWr1XR4h7egJAjm5DIFLC68XAkw==,gAAAAABkUtMedPlNsRZWoIxXU88tHv9kGVkNDeE2bIKzGGBnJpDq9HFnIM3Z4i7meOdQDTJVQ5cjIrLJBIslSPE7rIlMxGi6WQ==,Austrian writer,Female,Austria,Artist,1948,2007,natural causes,59
gAAAAABkUtMeqwQi5ftWl5Ruy_slaN4GUEdsSSpPnf18wVJuV4nA66yuSrnSXUqVex2Ki5rnei2bsTMKE5_wXBhhixyDIyvZ8w==,gAAAAABkUtMeT3Bbja7TkyrRmXqYrLQpgATnTJFrst7Xu2N_oozvz5Pw6QrlXvHo5fCBaSRe_8HuXB_xHFfg98mKfcPNl48w-w==,Austrian scientist,Male,Austria-Hungary,Researcher,1880,1926,suicide,46
gAAAAABkUtMeUs0qOs2AZP6Vlv5uyU8c4Wwg9dlbTzFmx_pibsfGj-rn-yb2l9XYDhbHNEBNSg3vxzWjQgh05ecCCVQBdRNkBg==,gAAAAABkUtMeX75L8FgJJoTbCVFMKuI9n1CV41QngZ5jy_o-hBRWooMokrQ7qXGZmxBQZznT1VGgotxTIpGxfDBf0HMqPmlbQA==,actress,Female,United States of America,Artist,1910,1980,natural causes,70
gAAAAABkUtMenvks5Xzt7g8ifGAUTfGiuqRkQ5IO9IQxxc3e5PjLRlRdym12GJ6ms27AAcsDWgAq_gbhwKUd1evn8lIfiBisxQ==,gAAAAABkUtMe5ESzvnebnW-DrVFOaiRdjYrHfmFNDZTr6oPNTFEYi1W6oCRavZnQzV4B3dnvn-Ea3RUuuMMD9TNDRMNZFj0urhNlmybWzh6k38cjB6bAwHs=,Austrian actress (1940-2002),Female,Austria; Nazi Germany,Artist,1940,2002,natural causes,62
gAAAAABkUtMedb1QcVDy2smcBEaCBMRlZYj67y4sXULWgfDvxWm9v2rFjMCeV5SojSp1pgcnaqjrrRO2hmAOaKQv2WvofDmN9A==,gAAAAABkUtMeqjWkzFn9S7KuCfTmgPBNKNdPvs-dBfQ9_dkLQ72CUj_M3gh5-GBKEt0D5cMArHuYLaYK3aDspUmcKsZzYtwG-w==,Austrian actor,Male,Austria,Artist,1880,1964,natural causes,84
gAAAAABkUtMeJ3PUqdeIBobQZrTlt2QZIAZ20iTWOnRdv9COlamTyA43t3owBevJjBDxmC1PMe1qzd__DgCngOEpOcjHi9C70Q==,gAAAAABkUtMeEJRzuKlf-hhmNBZ0Tzt3sF7dbfsq-Sjy8PqSFEUBLRaOb7C7a7jBPEWysSBZlN6fYCCPQKaRzBb7S_Dd7H-0Jg==,Austrian actor,Male,Austria,Artist,1907,1991,natural causes,84
gAAAAABkUtMfcKEdaRY9zMEMvu8iqqAZzdQ_kLmHNZADBGwhfdku-_UYkQCIXAYR42d4o7bTzWncvj9XLHCPs0SX-cNl_44ilw==,gAAAAABkUtMfKiDOaM09cCiZ_pB527Lm2AaCKIuU2_5UVA-WonG9pDGXfwn4NsKvFIv_5W9yR1wl4Wla_72-3igNHA74ZRdGZA==,Austrian neuroscientist,Male,United States of America; Austria,Researcher,1919,2015,natural causes,96
gAAAAABkUtMfibOwmi0KHOgFQ_yypAE-rWHECMfGQNHJw4axRYpG-CLMdsnZH2LfmQH5FfoyFsccECZvmf8NgG6jRs4XQ2CwCw==,gAAAAABkUtMfapqiy8XM-igxJgTo_ndQ4YIbF8w1RaPd1Cm-6X1Y7GB5dBTkJ8cfFRX5gXmJ6RtIDNKPEAbud0AuI-VC3EeIPg==,"American actor, director, producer, and screenwriter (1889-1928)",Male,United States of America,Artist,1889,1928,natural causes,39
gAAAAABkUtMfsy-cax7094kk0GP5KnmgNi6kv_QpkLZRG4WIN56pZBJaTPxU8zJ85gN7pzMBLu_XM6a-N8AXYELqHdG6gobiRg==,gAAAAABkUtMfq8f5YSgcm8dFgaWSetoGpJdaVgFGnOsXaOG4QdxXSI-eLjpLCMJkpwlueA2ZvY5qItF6qmPrs0zu99D83wekjg==,German general,Male,Austria,Military personnel,1898,1948,suicide,50
gAAAAABkUtMffQoX2guyz2sqyKhf7pkNI4GA6wEC_4BObjQYbKXcDBOoUmOv5NIvgbseM82CcVEOoa7IAKTL1ArreBxMpjvvjA==,gAAAAABkUtMfO2_7f23IVdR8cfBZMqxSDfMSCgu9rrQfIdIgro2GwiSAI3DWWBXjNBmJXskds72Lh3NrHWjWbHj-ZuYaBlM4kw==,German academic,Male,Austria; Germany,Researcher,1864,1943,natural causes,79
gAAAAABkUtMfQWWhHpav5PPnV9TMkm7qyVLtZjhETGNRPNmyj7HS3RtwsnLLBWgrYKObou-9WVezRBbtkOIgHiRA7GqVDGQDBA==,gAAAAABkUtMfd_Y8J40JECaN7ya1m5ocENrLM67LRMYraQKfq7KWOyx-QHyOKnKu85xzYtXB1JEbWi6bFShEukfhawFNzjefis6it1VDegp02rFFJlHh5aA=,German actor (1932-1991),Male,Germany,Artist,1932,1991,natural causes,59
