Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
Q170842,Sergei Korolev,Soviet rocket engineer and spacecraft designer,Male,Soviet Union,Researcher,1906,1966,natural causes,60
Q170899,Néstor Kirchner,former President of Argentina (1950-2010),Male,Argentina,Politician,1950,2010,natural causes,60
Q171091,Philip K. Dick,American science fiction author (1928–1982),Male,United States of America,Artist,1928,1982,natural causes,54
Q171128,Diego Rivera,Mexican painter,Male,Mexicans,Artist,1886,1957,natural causes,71
Q171228,Janez Drnovšek,Slovenian politician (1950-2008),Male,Slovenia,Artist,1950,2008,natural causes,58
Q171248,Alexander Samoylovich,Russian academic,Male,Soviet Union; Russian Empire,Researcher,1880,1938,unnatural death,58
Q171261,Emma Penella,Spanish actress (1931–2007),Female,Spain,Artist,1930,2007,natural causes,77
Q171413,Elisha Otis,Founder of Otis Elevator Co.,Male,United States of America,Businessperson,1811,1861,natural causes,50
Q171443,Carlos Pace,Brazilian racing driver,Male,Brazil,Military personnel,1944,1977,accident,33
Q171445,Gunnar Nilsson,racecar driver,Male,Sweden,Engineer,1948,1978,natural causes,30
Q171454,Oral Roberts,"Christian religious leader, healing evangelist, author, educator, television personality",Male,United States of America,Televangelist,1918,2009,natural causes,91
Q171460,Richie Ginther,American racing driver,Male,United States of America,Racing automobile driver; formula one driver,1930,1989,natural causes,59
Q171466,Dan Gurney,"American racing driver, constructor and team owner",Male,United States of America,Engineer,1931,2018,natural causes,87
Q171469,Chris Amon,New Zealand racing driver,Male,New Zealand,Racing automobile driver,1943,2016,natural causes,73
Q171478,Giancarlo Baghetti,racecar driver,Male,Italy; Kingdom of Italy,Racing automobile driver,1934,1995,natural causes,61
Q171490,Tony Brise,racecar driver,Male,United Kingdom,Formula one driver,1952,1975,accident,23
Q171511,Peter Gethin,British racing driver,Male,United Kingdom,Formula one driver,1940,2011,natural causes,71
Q171526,Jean-Pierre Beltoise,French motorcycle racer and racing driver,Male,France,Motorcycle racer; racing automobile driver; formula one driver,1937,2015,natural causes,78
Q171531,Joseph Siffert,Swiss racecar and motorcycle driver (1936-1971),Male,Switzerland,Racing driver; motorcycle racer; racing automobile driver,1936,1971,accident,35
Q171533,Vittorio Brambilla,Italian racing driver,Male,Italy; Kingdom of Italy,Motorcycle racer; racing automobile driver,1937,2001,natural causes,64
Q171556,Yves Saint Laurent,French fashion designer,Male,France,Businessperson,1936,2008,natural causes,72
Q171569,Lella Lombardi,Italian racecar driver (1941-1992),Female,Italy; Kingdom of Italy,Racing automobile driver,1941,1992,natural causes,51
Q171729,Mike Spence,British racing driver,Male,United Kingdom,Racing automobile driver; formula one driver,1936,1968,accident,32
Q171734,Mike Beuttler,racecar driver,Male,United Kingdom,Engineer,1940,1988,natural causes,48
Q171743,David Purley,British racing driver,Male,United Kingdom,Aerobatics; racing automobile driver; formula one driver,1945,1985,accident,40
Q171767,Johnny Servoz-Gavin,French racing driver,Male,France,Racing automobile driver; formula one driver,1942,2006,natural causes,64
Q171826,Alfred Dreyfus,French artillery officer,Male,France,Military personnel,1859,1935,natural causes,76
Q171830,Tony Maggs,South African racing driver,Male,South Africa,Racing automobile driver; formula one driver,1937,2009,natural causes,72
Q171834,Aldo Moro,Italian politician (1916-1978),Male,Italy; Kingdom of Italy,Researcher,1916,1978,homicide,62
Q171881,Willy Mairesse,racecar driver,Male,Belgium,Racing automobile driver; formula one driver,1928,1969,suicide,41
Q171883,Jee Yong-ju,amateur boxer from South Korea,Male,South Korea,Athlete,1948,1985,homicide,37
Q171889,Johnny Claes,Belgian racing driver,Male,Belgium,Artist,1916,1956,natural causes,40
Q171960,Hap Sharp,American racing driver,Male,United States of America,Racing automobile driver; formula one driver,1928,1993,suicide,65
Q172045,Jackie Pretorius,South African racing driver,Male,South Africa,Racing automobile driver; formula one driver,1934,2009,homicide,75
Q172050,José Dolhem,racecar driver,Male,France,Engineer,1944,1988,accident,44
Q172053,Luiz Bueno,racing driver,Male,Brazil,Engineer,1937,2011,natural causes,74
Q172083,Omar Bongo,President of Gabon (1935-2009),Male,France; Gabon,Politician,1935,2009,natural causes,74
Q172084,Oscar Alfredo Gálvez,Argentine racecar driver,Male,Argentina,Engineer,1913,1989,natural causes,76
Q172118,Percy Williams Bridgman,American physicist,Male,United States of America,Researcher,1882,1961,suicide,79
Q172127,Ivor Bueb,British racing driver,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Racing automobile driver; formula one driver,1923,1959,accident,36
Q172140,Michael Crichton,"American author, screenwriter, film producer",Male,United States of America,Artist,1942,2008,natural causes,66
Q172141,Mike Parkes,English racing driver,Male,United Kingdom,Engineer,1931,1977,accident,46
Q172165,Troy Ruttman,American racing driver,Male,United States of America,Racing automobile driver; formula one driver,1930,1997,natural causes,67
Q172192,John Love,racecar driver,Male,Zimbabwe,Engineer,1924,2005,natural causes,81
Q172213,Mehmet Shehu,Prime Minister of Albania (1913-1981),Male,Albania,Politician,1913,1981,suicide,68
Q172254,Ilya Mechnikov,"immunologist, embryologist, biologist, Nobel laureat",Male,France; Russian Empire,Researcher,1845,1916,natural causes,71
Q172348,Jim Crawford,British racing driver (1948-2002),Male,United Kingdom,Racing driver; formula one driver,1948,2002,natural causes,54
Q172364,Chris Lawrence,racecar driver,Male,United Kingdom,Engineer,1933,2011,natural causes,78
Q172418,Pablo Birger,Argentine racing driver,Male,Argentina,Racing automobile driver; formula one driver,1924,1966,accident,42
Q172474,Ricardo Londoño,Colombian racing driver,Male,Colombia,Engineer,1949,2009,homicide,60
Q172479,Ron Flockhart,British racing driver,Male,United Kingdom,Military personnel,1923,1962,accident,39
Q172489,Clemente Biondetti,racecar driver,Male,Italy; Kingdom of Italy,Racing automobile driver,1898,1955,natural causes,57
Q172492,John Fitch,racecar driver,Male,United States of America,Engineer,1917,2012,natural causes,95
Q172504,Horace Gould,British racing driver,Male,United Kingdom,Formula one driver,1918,1968,natural causes,50
Q172559,Bill Whitehouse,British racing driver,Male,United Kingdom,Engineer,1909,1957,accident,48
Q172584,Dean Reed,"singer, musician, actor, writer, director (1938-1986)",Male,United States of America,Artist,1938,1986,suicide,48
Q172585,Jim Hurtubise,racecar driver,Male,United States of America,Racing driver; formula one driver,1932,1989,natural causes,57
Q172651,Jimmy Daywalt,racecar driver,Male,United States of America,Racing automobile driver; formula one driver,1924,1966,natural causes,42
Q172788,O. Henry,American short story writer,Male,United States of America,Artist,1862,1910,natural causes,48
Q172801,John Riseley-Prichard,British racing driver,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Racing automobile driver; formula one driver,1924,1993,natural causes,69
Q172820,Stanisława Walasiewicz,Polish Olympic champion,Intersex,United States of America; Poland,Athlete,1911,1980,robbery,69
Q172823,Piero Drogo,Italian racing driver,Male,Italy; Kingdom of Italy,Racing automobile driver,1926,1973,accident,47
Q173007,Colin Chapman,"English design engineer, inventor, and builder in the automotive industry, and founder of Lotus Cars",Male,United Kingdom,Entrepreneur,1928,1982,natural causes,54
Q173028,Emilio G. Segrè,Italian physicist and Nobel laureate,Male,United States of America; Italy; Kingdom of Italy,Researcher,1905,1989,natural causes,84
Q173061,Syd Barrett,"English musician, co-founder of Pink Floyd (1946-2006)",Male,United Kingdom,Artist,1946,2006,natural causes,60
Q173147,Mike Hailwood,British motorcycle racer and racing driver,Male,United Kingdom,Motorcycle racer; formula one driver,1940,1981,accident,41
Q173153,Andrea de Cesaris,Italian racing driver,Male,Italy,Racing automobile driver,1959,2014,accident,55
Q173248,Sid Watkins,English neurosurgeon and Formula One doctor,Male,United Kingdom,Physician,1928,2012,natural causes,84
Q173284,Clay Regazzoni,Swiss racecar driver,Male,Switzerland,Racing automobile driver,1939,2006,accident,67
