,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
50128,Q319867,Edmund Muskie,United States politician (1914-1996),Male,United States,Politician,1914,1996,natural causes,82
50136,Q319934,Soh Jaipil,"noted champion for Korea's independence, journalist (1864-1951)",Male,United States,Politician,1864,1951,natural causes,87
50138,Q319939,Carlos P. Garcia,8th President of the Philippines (1896-1971),Male,Philippines,Politician,1896,1971,natural causes,75
50139,Q319943,Elpidio Quirino,6th President of the Philippines (1890-1956),Male,Philippines,Politician,1890,1956,natural causes,66
50144,Q319962,Milan Rastislav Štefánik,"Slovak politician, diplomat, French Army general and astronomer (1880-1919)",Male,France,Artist,1880,1919,accident,39
50147,Q319980,Gene Krupa,"drummer, composer, bandleader",Male,United States,Artist,1909,1973,natural causes,64
50151,Q320005,Apolo Nsibambi,Ugandan Prime MInister (1940-2019),Male,Uganda,Politician,1940,2019,natural causes,79
50153,Q320017,Carl Schlechter,Austro-Hungarian chess player,Male,Austria,Athlete,1874,1918,natural causes,44
50157,Q320047,Dick Scobee,American astronaut,Male,United States,Military personnel,1939,1986,accident,47
50160,Q320061,Thomas E. Dewey,American politician (1902-1971),Male,United States,Artist,1902,1971,natural causes,69
50161,Q320065,Artie Shaw,"American clarinetist, composer, and bandleader",Male,United States,Artist,1910,2004,natural causes,94
50168,Q320116,Paweł Finder,Polish politician (1904-1944),Male,Poland,Politician,1904,1944,unnatural death,40
50172,Q320144,József Gera,Hungarian politician (1896-1946),Male,Hungary,Politician,1896,1946,capital punishment,50
50177,Q320163,Ryan White,"AIDS spokesperson and ""poster boy""",Male,United States,Artist,1971,1990,natural causes,19
50180,Q320203,László Csizsik-Csatáry,Hungarian alleged  criminal,Male,Hungary,Police officer,1915,2013,natural causes,98
50181,Q320211,Stan Winston,american television and film special make-up creator,Male,United States,Artist,1946,2008,natural causes,62
50187,Q320281,Kerry Wendell Thornley,co-founder of Discordianism,Male,United States,Artist,1938,1998,natural causes,60
50203,Q320330,Zishe Breitbart,Strongman and circus performer,Male,Poland,Circus performer; amateur wrestler,1893,1925,accident,32
50226,Q320445,Pierre François Lacenaire,1800–1836 French poet and murderer,Male,France,Artist,1803,1836,capital punishment,33
50228,Q320452,Wilbert Harrison,"American rhythm and blues singer, pianist, guitarist and harmonica player",Male,United States,Artist,1929,1994,natural causes,65
50237,Q320482,Edmond Marin la Meslée,French flying ace,Male,France,Military personnel,1912,1945,accident,33
50242,Q320509,Robert Quiroga,American boxer,Male,United States,Athlete,1969,2004,homicide,35
50253,Q320560,Norris McWhirter,"writer, political activist and television presenter",Male,United Kingdom,Artist,1925,2004,natural causes,79
50274,Q320639,Noel Redding,English rock and roll guitarist,Male,United Kingdom,Artist,1945,2003,natural causes,58
50285,Q320690,Enrico Rastelli,Italian juggler and performer,Male,Italy,Circus performer,1896,1931,natural causes,35
50310,Q320816,Ron Grainer,British composer (1922-1981),Male,Australia,Artist,1922,1981,natural causes,59
50326,Q320871,Abid Hamid Mahmud,Iraqi politician (1957-2012),Male,Iraq,Politician,1957,2012,capital punishment,55
50328,Q320883,Joe Pass,American musician,Male,United States,Artist,1929,1994,natural causes,65
50336,Q320920,Francesco Agello,test pilot,Male,Italy,Military personnel,1902,1942,accident,40
50346,Q320954,Henk Schouten,Dutch footballer (1932-2018),Male,Netherlands,Athlete,1932,2018,natural causes,86
50355,Q320984,Alexandros Papadiamantis,Greek short-story writer,Male,Greece,Artist,1851,1911,natural causes,60
50361,Q321005,Cristiano Júnior,Brazilian footballer (1979-2004),Male,Brazil,Athlete,1979,2004,natural causes,25
50367,Q321042,Jean-Luc Lagardère,French businessman,Male,France,Businessperson,1928,2003,natural causes,75
50382,Q321108,Rodrigo Bueno,Argentine singer (1973-2000),Male,Argentina,Artist,1973,2000,accident,27
50384,Q321114,Abigail Folger,"Heiress, Volunteer",Female,United States,Socialite,1943,1969,homicide,26
50386,Q321122,Robert Anderson,British police officer,Male,United Kingdom,Artist,1841,1918,natural causes,77
50387,Q321135,Giacinto Ghia,Italian automobile coachbuilder,Male,Italy,Athlete,1887,1944,natural causes,57
50391,Q321149,Freddy Heineken,Dutch businessman,Male,Netherlands,Businessperson,1923,2002,natural causes,79
50401,Q321178,Tex Williams,American musician (1917-1985),Male,United States,Artist,1917,1985,natural causes,68
