,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
18394,Q92953,Bob Bemer,American aerospace engineer,Male,United States,Researcher,1920,2004,natural causes,84
18400,Q92990,Bui Tuong Phong,Computer graphics researcher and pioneer,Male,Vietnam,Researcher,1942,1975,natural causes,33
18404,Q93005,Herman Goldstine,American mathematician,Male,United States,Researcher,1913,2004,natural causes,91
18407,Q93018,Frank Rosenblatt,Psychologist who helped develop the first computer,Male,United States,Researcher,1928,1971,accident,43
18427,Q93117,William Norris,CEO of Control Data Corporation,Male,United States,Researcher,1911,2006,natural causes,95
18428,Q93119,Donald Michie,British artificial intelligence researcher,Male,United Kingdom,Researcher,1923,2007,accident,84
18437,Q93157,Eugene O'Neill,"American playwright, and Nobel laureate in Literature",Male,United States,Artist,1888,1953,natural causes,65
18439,Q93182,Louis Braille,"inventor of braille, a system of reading and writing used by people who are blind or visually impaired",Male,Kingdom of France,Teacher,1809,1852,natural causes,43
18440,Q93188,Errol Flynn,Australian actor (1909-1959),Male,United States,Artist,1909,1959,natural causes,50
18441,Q93227,Nikolai Rimsky-Korsakov,Russian composer,Male,Russia,Artist,1844,1908,natural causes,64
18443,Q93330,Juan Domingo Perón,former President of Argentina (1895-1974),Male,Argentina,Politician,1895,1974,natural causes,79
18444,Q93341,Miles Davis,American jazz musician (1926-1991),Male,United States,Artist,1926,1991,natural causes,65
18446,Q93349,Bessie Smith,American blues singer,Female,United States,Artist,1894,1937,accident,43
18447,Q93354,F. Scott Fitzgerald,American novelist and screenwriter (1896-1940),Male,United States,Artist,1896,1940,natural causes,44
18472,Q93412,Austin Peralta,American jazz pianist,Male,United States,Artist,1990,2012,natural causes,22
18476,Q93444,Vicki Baum,Austrian writer,Female,United States,Artist,1888,1960,natural causes,72
18479,Q93467,Paul Henreid,Austrian-American actor and film director,Male,United States-Hungary,Artist,1908,1992,natural causes,84
18500,Q93583,Gustav Wagner,Holocaust perpetrator (1911-1980),Male,Austria;  Germany,Politician,1911,1980,suicide,69
18505,Q93604,Lotte Lenya,Austrian singer and actress,Female,Austria,Artist,1898,1981,natural causes,83
18507,Q93632,Joseph Schildkraut,actor (1896-1964),Male,United States,Artist,1896,1964,natural causes,68
18508,Q93645,Joy Adamson,naturalist (1910-1980),Female,Austria,Artist,1910,1980,homicide,70
18510,Q93652,Christine Nöstlinger,Austrian children's and young adult's writer,Female,Austria,Artist,1936,2018,natural causes,82
18514,Q93678,Herbert Feigl,Austrian philosopher,Male,United States,Teacher,1902,1988,natural causes,86
18519,Q93697,Hugo Meisl,Austrian footballer (1881-1937),Male,Austria,Athlete,1881,1937,natural causes,56
18523,Q93709,Henry Clay Frick,American industrialist,Male,United States,Entrepreneur,1849,1919,natural causes,70
18524,Q93711,Elisabeth Bergner,German actress,Female,Austria,Artist,1897,1986,natural causes,89
18526,Q93718,Ludwig Anzengruber,German dramatist,Male,Austria,Artist,1839,1889,natural causes,50
18531,Q93745,Inejiro Asanuma,Japanese politician (1898-1960),Male,Japan,Politician,1898,1960,homicide,62
18545,Q93815,Karen Wynn Fonstad,"American cartographer, academic",Female,United States,Artist,1945,2005,natural causes,60
18546,Q93817,Władysław Tarnowski,Polish composer,Male,Russia,Artist,1836,1878,natural causes,42
18550,Q93839,Gary M. Heidnik,American Serial Killer,Male,United States,Nurse; serial killer; criminal,1943,1999,capital punishment,56
18565,Q93890,Kajetan Mühlmann,"Art historian, art plunderer and dealer on behalf of the s (1898-1958)",Male,Austria,Researcher,1898,1958,natural causes,60
18573,Q93914,Richard Kröll,alpine skier,Male,Austria,Alpine skier,1968,1996,accident,28
18578,Q93938,Gary Friedrich,American comic book writer,Male,United States,Artist,1943,2018,natural causes,75
18584,Q93957,Gary Cooper,American actor (1901-1961),Male,United States,Artist,1901,1961,natural causes,60
18585,Q93961,Paul Otto Geibel,German military personnel,Male,Germany,Military personnel,1898,1966,suicide,68
18594,Q93996,Ernst Mach,Austrian physicist and university educator (1838–1916),Male,Austria-Hungary,Researcher,1838,1916,natural causes,78
18596,Q94005,John Wellborn Root,American architect,Male,United States,Architect,1850,1891,natural causes,41
18610,Q94040,Guido von List,Austrian writer,Male,Austria,Artist,1848,1919,natural causes,71
18611,Q94041,James Cagney,American actor and dancer,Male,United States,Artist,1899,1986,natural causes,87
18613,Q94043,Johan Botha,South African operatic tenor,Male,Austria,Artist,1965,2016,natural causes,51
18629,Q94112,Andreas Waldherr,Austrian rally driver,Male,Austria,Rally driver,1968,2011,accident,43
18633,Q94123,Jack Lemmon,American actor (1925-2001),Male,United States,Artist,1925,2001,natural causes,76
18716,Q94487,Rose Marie,"American actress, singer, comedian, and vaudeville performer (1923-2017)",Female,United States,Artist,1923,2017,natural causes,94
18719,Q94513,Joseph Schmidt,Romanian opera singer,Male,Austria,Artist,1904,1942,natural causes,38
18736,Q94572,Yefim Kopelyan, actor (1912-1975),Male,Russia; Russia,Artist,1912,1975,natural causes,63
18750,Q94636,Rudolf Prack,Austrian actor (1905-1981),Male,Austria,Artist,1905,1981,natural causes,76
18763,Q94678,Fritz Dietrich,SS officer,Male,Austria,Military personnel,1898,1948,capital punishment,50
18773,Q94721,Marisa Mell,Austrian actress (1939-1992),Female,Austria,Artist,1939,1992,natural causes,53
18787,Q95002,William Holden,American actor (1918-1981),Male,United States,Artist,1918,1981,accident,63
18793,Q95019,Norma Shearer,Canadian-American actress,Female,Canadas,Artist,1902,1983,natural causes,81
18795,Q95034,John Barrymore,"American actor of stage, screen and radio (1882-1942)",Male,United States,Artist,1882,1942,natural causes,60
18796,Q95050,Paulette Goddard,American actress,Female,United States,Artist,1910,1990,natural causes,80
18797,Q95055,Jane Wyman,"American actress, singer, dancer, and philanthropist (1917-2007)",Female,United States,Artist,1917,2007,natural causes,90
18800,Q95089,Ginger Rogers,American actress and dancer (1911-1995),Female,United States,Artist,1911,1995,natural causes,84
18803,Q95133,Robert Aldrich,"American film director, screenwriter and producer",Male,United States,Artist,1918,1983,natural causes,65
18806,Q95143,Carol Reed,English film director,Male,United Kingdom,Artist,1906,1976,natural causes,70
18807,Q95148,Joseph Cotten,"American film, stage and television actor",Male,United States,Artist,1905,1994,natural causes,89
18815,Q95177,Engelmar Unzeitig,Czechoslovak roman catholic priest,Male,Germany,Religious figure,1911,1945,natural causes,34
18853,Q95231,Brigitte Reimann,German writer,Female,German Democratic Republic,Artist,1933,1973,natural causes,40
18862,Q95244,Karl-Günther Heimsoth,"German physician, polygraph and politician",Male,Germany,Physician,1899,1934,capital punishment,35
18872,Q95262,Alfred Struwe,actor,Male,Germany,Artist,1927,1998,natural causes,71
18902,Q95300,Walter Cramer,German businessman,Male,Germany,Entrepreneur,1886,1944,capital punishment,58
18919,Q95330,James Ingo Freed,American architect,Male,United States,Teacher,1930,2005,natural causes,75
18925,Q95341,Friedrich Ritter von Röth,German flying ace,Male,Germany,Fighter pilot,1893,1918,suicide,25
18966,Q95394,Alfred Trzebinski,"SS-physician at the Auschwitz, Majdanek and Neuengamme concentration camps in  Germany",Male,Germany,Military personnel,1902,1946,capital punishment,44
18994,Q95444,Sig Arno,German-born stage and film actor,Male,Germany,Artist,1895,1975,natural causes,80
19035,Q95500,Georg Hansen,German military officer,Male,Germany,Military personnel,1904,1944,capital punishment,40
19047,Q95524,Eberhard Finckh,German Army officer and a member of the German resistance,Male,Germany,Military personnel,1899,1944,capital punishment,45
19064,Q95547,Eberhard Fraas,geologist,Male,Germany,Paleontologist,1862,1915,natural causes,53
19073,Q95556,Hagen Liebing,German journalist,Male,Germany,Artist,1961,2016,natural causes,55
19096,Q95600,Helmuth Wilberg,German soldier,Male,Germany,Military personnel,1880,1941,accident,61
19099,Q95605,Alexander Piorkowski,German  concentration camp commandant,Male, Germany,Mechanic,1904,1948,capital punishment,44
19103,Q95613,Michael Hinz,German actor,Male,Germany,Artist,1939,2008,natural causes,69
19126,Q95645,Manfred Donike,German racing cyclist and chemist (1933-95),Male,Germany,Athlete,1933,1995,natural causes,62
19137,Q95663,Walter Haeussermann,German-American aerospace engineer,Male,United States,Researcher,1914,2010,accident,96
19149,Q95680,Kurt Gustav Wilckens,militant German anarchist,Male,Germany,Nan; trade unionist,1886,1923,homicide,37
19158,Q95691,Richard Münch,actor,Male,Germany,Artist,1916,1987,natural causes,71
19198,Q95743,Kurt Eberhard," Major-General, paricipated in Babi Yar massacre",Male,Germany,Military personnel,1874,1947,suicide,73
19226,Q95788,Marga von Etzdorf,German aviator,Female,Germany,Military personnel,1907,1933,suicide,26
19238,Q95807,Princess Anne of Löwenstein-Wertheim-Freudenberg,English socialite and aviation patron and enthusiast,Female,United Kingdom,Military personnel,1864,1927,accident,63
19244,Q95821,Wolfgang Doeblin,French-German mathematician,Male,France,Researcher,1915,1940,suicide,25
19280,Q95878,Arthur Rödl,"Schutzstaffel officer,  concentration camp commandant",Male, Germany,Military personnel,1898,1945,suicide,47
19281,Q95880,Julius Ludolf,German SS officer and concentration camp commandant (1893-1947),Male,Germany,Taxi driver; concentration camp guard,1893,1947,capital punishment,54
19284,Q95887,Reinhold Frank,German lawyer,Male,Germany,Lawyer,1896,1945,capital punishment,49
19291,Q95899,Willy Leow,German politician (1887-1937),Male,Germany,Politician,1887,1937,unnatural death,50
19316,Q95937,Hans Posse,"German art historian, Hitler's special representative for planned ""Führermuseum"" in Linz, Austria",Male,Germany,Researcher,1879,1942,natural causes,63
19353,Q95985,Hermann Maaß,German resistance fighter (1897-1944),Male,Germany,Politician,1897,1944,capital punishment,47
19366,Q96006,Erich Loest,German writer,Male,Germany,Artist,1926,2013,suicide,87
19377,Q96026,Rudolf G. Binding,German writer and poet,Male,Germany,Artist,1867,1938,natural causes,71
19381,Q96033,Ralf D. Bode,American cinematographer,Male,United States,Cinematographer; camera operator,1941,2001,natural causes,60
19382,Q96034,Eustachius Kugler,German friar (1867-1946),Male,Germany,Brother,1867,1946,natural causes,79
19383,Q96035,Heinrich Graf zu Dohna-Schlobitten,German general,Male,Germany,Farmer; resistance fighter,1882,1944,capital punishment,62
19397,Q96058,Karl Borwin zu Mecklenburg,(1888-1908),Male,Germany,Military personnel,1888,1908,homicide,20
19409,Q96076,Ottomar Rodolphe Vlad Dracula Prince Kretzulesco,German socialite,Male,Germany,Baker; socialite,1940,2007,natural causes,67
19424,Q96109,Elisabeth Wiese,German serial killer,Female,Germany,Midwife; serial killer,1853,1905,capital punishment,52
19426,Q96112,Rudolf Formis,German engineer,Male,Germany,Engineer,1896,1935,homicide,39
19463,Q96176,Johanna Gadski,German-born operatic soprano,Female,Germany,Artist,1872,1932,accident,60
19467,Q96184,Max Gülstorff,German actor,Male,German Reich,Artist,1882,1947,natural causes,65
19475,Q96197,Hans Rosenthal,German radio and television host of the 1970s and 80s,Male,Germany,Television presenter; radio personality,1925,1987,natural causes,62
19478,Q96203,Heiko Engelkes,German journalist,Male,Germany,Artist,1933,2008,natural causes,75
19480,Q96209,Egbert Hayessen,German resistance fighter,Male,Germany,Military personnel,1913,1944,capital punishment,31
19482,Q96213,Karl Sack,German judge,Male,Germany,Judge,1896,1945,capital punishment,49
19518,Q96260,Jürgen Roth,German opinion journalist,Male,Germany,Artist,1945,2017,natural causes,72
19622,Q96415,Carl Melchior,"German lawyer, judge and banker (1871-1933)",Male,Germany,Politician,1871,1933,natural causes,62
19641,Q96450,Eduard Weiter,German concentration camp commandant (1889-1945),Male,Germany,Politician,1889,1945,suicide,56
19645,Q96454,Fritz von Kraußer,German politician (1888-1934),Male,Germany,Politician,1888,1934,homicide,46
19647,Q96456,Friedrich Alpers,German general (1901-1944),Male,Germany,Politician,1901,1944,suicide,43
19669,Q96496,Schwester Euthymia,German Roman Catholic,Female,Germany,Nurse,1914,1955,natural causes,41
19691,Q96522,Salman Schocken,Businessman and publisher,Male,Germany,Businessperson,1877,1959,natural causes,82
19711,Q96546,Heinz Winkler,German politician (1910-1958),Male,Germany,Politician,1910,1958,accident,48
19720,Q96561,Fritz Schmidt,Dutch collaborator with  Germany (1903-1943),Male,Germany,Politician,1903,1943,suicide,40
19760,Q96610,Udo Ulfkotte,German journalist and critic of Islam,Male,Germany,Artist,1960,2017,natural causes,57
19800,Q96673,Herbert Zimmermann,German tv presenter,Male,Germany,Journalist,1917,1966,accident,49
19815,Q96695,Anton Dilger,German physician,Male,Germany,Physician,1884,1918,natural causes,34
19837,Q96723,Arnold von Winckler,German officer,Male,Germany,Military personnel,1856,1945,natural causes,89
19844,Q96739,Walter Klingenbeck,"German mechanic, resistance fighter and martyr",Male,Germany,Mechanic; resistance fighter; martyr,1924,1943,capital punishment,19
19866,Q96773,Heinrich Koenen,German resistance member,Male,Germany,Engineer,1910,1945,capital punishment; unnatural death,35
19874,Q96784,Julius Falkenstein,German actor,Male,Germany,Artist,1879,1933,natural causes,54
19905,Q96826,Heinrich Fehlis,SS officer,Male,Germany,Jurist,1906,1945,suicide,39
19917,Q96843,Hedwig Pringsheim,German actress,Female,Germany,Artist,1855,1942,natural causes,87
19928,Q96861,Otto Förschner,"German SS officer and concentration camp commander, convicted war criminal (1902-1946)",Male, Germany,Military personnel,1902,1946,capital punishment,44
19946,Q96896,Herbert-Ernst Vahl,German general,Male,Germany,Military personnel,1896,1944,accident,48
19948,Q96900,Rainer Rochlitz,French art historian,Male,France,Researcher,1946,2002,natural causes,56
19951,Q96904,Ida Siekmann,First person to die at the Berlin Wall,Female,Germany,Nurse,1902,1961,accident,59
19990,Q96952,Carl Röver,SS officer (1889-1942),Male,Germany,Politician,1889,1942,natural causes,53
19991,Q96953,Jakob Sprenger,politician from Germany (1884-1945),Male,Germany,Politician,1884,1945,suicide,61
20023,Q97003,Amelie Beese,early German aviator,Female,Germany,Artist,1886,1925,suicide,39
20027,Q97008,Joachim Helbig,German World War II bomber pilot,Male,Germany,Military personnel,1915,1985,accident,70
20104,Q97107,Robert Saudek,Czech playwright and writer,Male,Germany,Artist,1880,1935,natural causes,55
20108,Q97112,Carl Hans Lody,German naval reserve officer; spy,Male,Germany,Spy,1877,1914,capital punishment,37
20112,Q97117,Günter Schubert,German actor and voice actor,Male,Germany,Artist,1938,2008,natural causes,70
20117,Q97122,Karl Theodor Freiherr von und zu Guttenberg,"German politician (CSU), Secretary of State in the Federal Chancellery (1921-1972)",Male,Germany,Politician,1921,1972,natural causes,51
20130,Q97144,Werner Meinhof,art historian (1901-1940),Male,Germany,Researcher,1901,1940,natural causes,39
20164,Q97196,Wilfried Feldenkirchen,German historian,Male,Germany,Researcher,1947,2010,accident,63
20165,Q97197,Rudolf von Marogna-Redwitz,"Colonel of the Wehrmacht, and member of the German Resistance in  Germany",Male,Germany,Military personnel,1886,1944,capital punishment,58
20208,Q97265,Markus Hoffmann,German actor (1971-1997),Male,Germany,Artist,1971,1997,suicide,26
20217,Q97284,Gertrud Seele,German nurse,Female,Germany,Nurse; social worker,1917,1945,capital punishment,28
20221,Q97289,Erik Schumann,German actor,Male,Germany,Artist,1924,2007,natural causes,83
20228,Q97302,Daniel Bonifacius von Haneberg,Catholic bishop,Male,Germany,Religious figure,1816,1876,natural causes,60
20232,Q97306,Ernst Schneppenhorst,Bavarian politician (1881-1945),Male,Germany,Politician,1881,1945,capital punishment,64
20265,Q97363,René Carol,German recording artist; singer,Male,Germany,Artist,1920,1978,natural causes,58
20280,Q97397,Mareike Carrière,German actress,Female,Germany,Artist,1954,2014,natural causes,60
20301,Q97421,Ludwig Ross,German classical Archaeologist and university professor,Male,Duchy of Holstein,Researcher,1806,1859,suicide,53
20312,Q97438,Eberhard von Brauchitsch,German businessman (1926-2010),Male,Germany,Businessperson,1926,2010,suicide,84
20318,Q97445,Herbert Rehbein,"German songwriter, composer, music arranger",Male,Germany,Artist,1922,1979,natural causes,57
20341,Q97485,Hans Georg Klamroth,German businessman involved in the July 20 Plot to assassinate Adolf Hitler,Male,Germany,Military personnel,1898,1944,capital punishment,46
20402,Q97587,Franz Jacob,German Communist politician and Resistance fighter against sm (1906-1944),Male,Germany,Politician,1906,1944,capital punishment,38
20404,Q97589,Oswald Freisler,German lawyer,Male,Germany,Lawyer,1895,1939,suicide,44
20426,Q97624,Karl-Heinz Schnibbe,German resistance member,Male,Germany,Resistance fighter,1924,2010,natural causes,86
20494,Q97734,Felix Liebermann,German historian,Male,Germany,Researcher,1851,1925,accident,74
20496,Q97736,Gustav Kieseritzky,German admiral and Knight's Cross recipients,Male,Germany,Military personnel,1893,1943,death in battle,50
20514,Q97765,Henry Ulke,"American painter, entomologist and music critic (1821-1910)",Male,United States,Researcher,1821,1910,accident,89
20540,Q97814,Harald Turner,Serbian SS Officer,Male,Germany,Jurist,1891,1947,capital punishment,56
20557,Q97838,Dieter Schidor,German actor,Male,Germany,Artist,1948,1987,natural causes,39
20625,Q97947,Ernst Meyer,American politician (1887-1930),Male,Germany,Politician,1887,1930,natural causes,43
20658,Q97997,Peter Kruse,German psychologist,Male,Germany,Teacher,1955,2015,natural causes,60
20663,Q98005,Axel Jüptner,German footballer (1969-1998),Male,Germany,Athlete,1969,1998,natural causes,29
20665,Q98007,Johanna Töpfer,German politician (1929-1990),Female,Germany,Politician,1929,1990,suicide,61
20704,Q98062,Wolf Gremm,German film director (1942-2015),Male,Germany,Artist,1942,2015,natural causes,73
20784,Q98183,Karen Friesicke,German actress and comedian,Female,Germany,Artist,1962,2015,suicide,53
20815,Q98234,Heinz Kapelle,German communist activist (1913-1941),Male,Germany,Politician,1913,1941,capital punishment,28
20864,Q98324,Willi Becker,German politician (1918-1977),Male,Germany,Politician,1918,1977,suicide,59
20870,Q98333,Gerhard Pohl,German politician (1937-2012),Male,Germany,Politician,1937,2012,accident,75
20968,Q98500,Thomas Schäuble,German politician (1948-2013),Male,Germany,Politician,1948,2013,natural causes,65
20973,Q98508,Curt Rothenberger,German politician (1896-1959),Male,Germany,Politician,1896,1959,suicide,63
21017,Q98582,Adolf Heilborn,German author,Male,Germany,Artist,1873,1941,suicide,68
21023,Q98590,Franz Josef Heinz,German politician (1884-1924),Male,Germany,Politician,1884,1924,homicide,40
21052,Q98649,Ernst Knaack,German resistance member,Male,German Reich,Resistance fighter,1914,1944,capital punishment,30
21115,Q98753,Max Naumann,German politician,Male,Germany,Lawyer,1875,1939,natural causes,64
21125,Q98770,Fritz Teufel,prominent figure in the West German political left of the 1960s,Male,Germany,Revolutionary,1943,2010,natural causes,67
21224,Q98952,Maximilian Kronberger,German poet,Male,Germany,Artist,1886,1904,natural causes,18
21300,Q99089,Anton Kehle,German ice hockey player,Male,Germany,Athlete,1947,1997,natural causes,50
21312,Q99110,Eberhard Kinzel,German General and Knight's Cross recipients,Male,Germany,Military personnel,1897,1945,suicide,48
21407,Q99288,Hans Quest,German actor,Male,Germany,Artist,1915,1997,natural causes,82
21430,Q99359,Theodor Strünck,German lawyer and resistance worker,Male,Germany,Lawyer,1895,1945,capital punishment,50
21447,Q99393,Paul Davidson,German film producer,Male,Germany,Film producer,1867,1927,suicide,60
21448,Q99394,Heinrich Werner,German composer,Male,Germany,Artist,1800,1833,natural causes,33
21456,Q99411,Bernhard Knubel,German rower,Male,Germany,Rower,1938,1973,natural causes,35
21457,Q99417,Roland Baar,German rower and university teacher,Male,Germany,Teacher,1965,2018,accident,53
21485,Q99463,Johannes Stelling,German politician and journalist (1877-1933),Male,Germany,Politician,1877,1933,homicide,56
21511,Q99509,Wolf Kaiser,German actor,Male,Germany,Artist,1916,1992,suicide,76
21570,Q99603,Joachim Erwin,German politician (1949-2008),Male,Germany,Politician,1949,2008,natural causes,59
21583,Q99628,Ludwig Gehre,German resistance member,Male,Germany,Military personnel,1895,1945,capital punishment,50
21612,Q99706,Alfred Gottschalk,American rabbi,Male,United States,Artist,1930,2009,accident,79
21618,Q99718,Hartmut Gründler,"Fire suicide out of protest against ""lies"" in the atomic policy of the Federal Republic of Germany",Male,Germany,Artist,1930,1977,suicide,47
21661,Q99802,Stefan Baretzki,SS guard at Auschwitz of Romanian Volksdeutsche origin,Male,Germany,Military personnel,1919,1988,suicide,69
21674,Q99829,Zhao Ziyang,former General Secretary of the Communist Party of China (1919-2005),Male,China,Politician,1919,2005,natural causes,86
21687,Q99850,Hu Yaobang,former General Secretary of the Communist Party of China (1915-1989),Male,China; China (1912–1949),Politician,1915,1989,natural causes,74
21714,Q99892,Rolf Wütherich,German racecar driver,Male,Germany,Racing driver; racing automobile driver,1927,1981,accident,54
21722,Q99907,Manfred Durniok,German film producer,Male,Germany,Artist,1934,2003,natural causes,69
21737,Q100005,Tadeusz Borowski,Polish writer and journalist (1922-1951),Male,Poland,Artist,1922,1951,suicide,29
21738,Q100028,Jörg Hube,German actor and director,Male,Germany,Artist,1943,2009,natural causes,66
21744,Q100122,Kurt Kreuger,actor (1916-2006),Male,United States,Artist,1916,2006,natural causes,90
21777,Q100251,Peter Vogel,German film actor (1937-1978),Male,Germany,Artist,1937,1978,suicide,41
21827,Q100337,Peter Borgelt,German actor (1927-1994),Male,Germany,Artist,1927,1994,natural causes,67
21855,Q100393,Wilhelm Müller-Wismar,German ethnographer,Male,Germany,Anthropologist; ethnographer,1881,1916,natural causes,35
21873,Q100440,Larry Hagman,American film and television actor (1931-2012),Male,United States,Artist,1931,2012,natural causes,81
21908,Q100494,Wilhelm Friedrich Loeper,German general (1883-1935),Male,Germany,Politician,1883,1935,natural causes,52
21918,Q100513,Vinzenz Schöttl,SS officer (1905-1946),Male,Germany,Politician,1905,1946,capital punishment,41
21969,Q100612,Ewald von Demandowsky,German film producer,Male,Germany,Journalist,1906,1946,capital punishment,40
22054,Q100762,Alfred Grünberg,German resistance fighter (1901-1942),Male,Germany,Politician,1901,1942,capital punishment,41
22130,Q100937,Fred Astaire,"American dancer, singer, actor, choreographer and television presenter (1899-1987)",Male,United States,Artist,1899,1987,natural causes,88
22133,Q100942,Erwin Bumke,German  politician (1874-1945),Male,Germany,Politician,1874,1945,suicide,71
22135,Q100948,Rachel Carson,American marine biologist and conservationist,Female,United States,Researcher,1907,1964,natural causes,57
22153,Q100989,Hubert von Meyerinck,actor,Male,Germany,Artist,1896,1971,natural causes,75
22174,Q101030,Maria von Wedemeyer,German computer scientist,Female,Germany,Religious figure,1924,1977,natural causes,53
22233,Q101207,Heinrich Wiegand,Director General of Norddeutscher Lloyd shipping company,Male,Germany,Engineer,1855,1909,natural causes,54
22305,Q101393,Ernst Behmer,German film actor,Male,Germany,Artist,1875,1938,natural causes,63
22317,Q101421,Johann Schwarzhuber,Nazy German military officials,Male, Germany,Military personnel,1904,1947,capital punishment,43
22395,Q101622,Hermann Leuchs,German chemist,Male,Germany,Researcher,1879,1945,suicide,66
22436,Q101740,Benoit Mandelbrot,"Polish-born, French and American mathematician",Male,United States,Researcher,1924,2010,natural causes,86
22443,Q101762,Gary D.,German musician,Male,Germany,Disc jockey,1963,2016,natural causes,53
22458,Q101799,Grete Beier,german criminal,Female,Germany,Murderer,1885,1908,capital punishment,23
22493,Q101855,Heinz Schubert,German actor,Male,Germany,Artist,1925,1999,natural causes,74
22500,Q101868,Wolfgang Neuss,German actor and Kabarett artist,Male,Germany,Artist,1923,1989,natural causes,66
22511,Q101884,Albert Lieven,actor,Male,Germany,Artist,1906,1971,natural causes,65
22512,Q101886,Joachim von Ribbentrop,German Foreign Minister of  Germany (1893-1946),Male,Germany,Politician,1893,1946,capital punishment,53
22538,Q101930,Helene von Dönniges,German writer,Female,Germany,Artist,1843,1911,suicide,68
22586,Q102011,Clemens Hasse,actor,Male,Germany,Artist,1908,1959,natural causes,51
22595,Q102023,Theodor Korselt,German genealogist,Male,Germany,Jurist; genealogist,1891,1943,capital punishment,52
22625,Q102071,Tove Jansson,Finnish children's writer and illustrator (1914-2001),Female,Finland,Artist,1914,2001,natural causes,87
22640,Q102104,Felix Auerbach,"German Jewish physicist (1856-1933), suicide",Male,Germany,Researcher,1856,1933,suicide,77
22651,Q102122,Gerold von Braunmühl,German diplomat,Male,Germany,Politician,1935,1986,homicide,51
22681,Q102173,Walter Heiligenberg,German physiologist,Male,Germany,Physiologist; ethologist,1938,1994,accident,56
22684,Q102176,Theodor Uhlig,German composer,Male,Germany,Artist,1822,1853,natural causes,31
22690,Q102188,Arnold Berliner,German physicist,Male,Germany,Researcher,1862,1942,suicide,80
22703,Q102233,Emil Waldmann,German art historian,Male,Germany,Researcher,1880,1945,suicide,65
22715,Q102267,Hans Hayn,German politician (1896-1934),Male,Germany,Politician,1896,1934,homicide,38
22723,Q102278,Christian B. Anfinsen,American biochemist,Male,United States,Researcher,1916,1995,natural causes,79
22729,Q102289,Buckminster Fuller,"American architect, systems theorist, author, designer, inventor and futurist",Male,United States,Researcher,1895,1983,natural causes,88
22735,Q102301,Joe Frazier,American boxer (1944-2011),Male,United States,Athlete,1944,2011,natural causes,67
22749,Q102331,Sócrates,Brazilian association football player (1954-2011),Male,Brazil,Athlete,1954,2011,natural causes,57
22752,Q102336,Karl Astel,German scientist (1898-1945),Male,Germany,Politician,1898,1945,suicide,47
22757,Q102341,Farrah Fawcett,American actress (1947-2009),Female,United States,Artist,1947,2009,natural causes,62
22775,Q102374,Bruno Kastner,German actor,Male,Germany,Artist,1890,1932,suicide,42
22789,Q102406,Herbert C. Brown,chemist,Male,United States,Researcher,1912,2004,natural causes,92
22821,Q102462,James Stewart,American actor,Male,United States,Artist,1908,1997,natural causes,89
22823,Q102467,Bernhard Letterhaus,German trade unionist (1894-1944),Male,Germany,Politician,1894,1944,capital punishment,50
22832,Q102486,Elli Hatschek,German Resistance fighter and  victim,Female,Germany,Resistance fighter,1901,1944,capital punishment,43
22856,Q102527,Robert Falcon Scott,Royal Navy officer and explorer,Male,United Kingdom,Artist,1868,1912,natural causes,44
22868,Q102551,Ernest Borgnine,American actor,Male,United States,Artist,1917,2012,natural causes,95
22908,Q102627,Werner Stocker,German actor,Male,Germany,Artist,1955,1993,natural causes,38
22916,Q102648,Wilhelm Steinitz,Austrian chess player,Male,United Statesn Empire,Athlete,1836,1900,natural causes,64
22920,Q102664,Mikhail Tal,-Latvian chess player,Male,Latvia; Russia,Athlete,1936,1992,natural causes,56
22926,Q102678,Andreas Schmidt,German actor and director,Male,Germany,Artist,1963,2017,natural causes,54
22944,Q102711,Dennis Hopper,American actor and filmmaker (1936–2010),Male,United States,Artist,1936,2010,natural causes,74
22947,Q102714,Sven Meyer,German figure skater,Male,Germany,Athlete,1977,1999,suicide,22
22974,Q102783,Susanne Cramer,German actress (1936-1969),Female,Germany,Artist,1936,1969,natural causes,33
22988,Q102804,Henri Moissan,French chemist,Male,France,Researcher,1852,1907,natural causes,55
22994,Q102813,Yul Brynner,American actor (1920-1985),Male,United States,Artist,1920,1985,natural causes,65
22997,Q102822,Jacobus Henricus van 't Hoff,Dutch physical and organic chemist,Male,Netherlands,Researcher,1852,1911,natural causes,59
23019,Q102870,Harriet Tubman,African-American abolitionist and humanitarian,Female,United States,Artist,1820,1913,natural causes,93
23050,Q102961,Peter Pasetti,German actor,Male,Germany,Artist,1916,1996,natural causes,80
23121,Q103159,Frank Jeske,German footballer,Male,Germany,Athlete,1960,1994,accident,34
23171,Q103263,Richard Trommer,tysk -lege ved konsentrasjonsleire,Male,Germany,Physician,1910,1945,suicide,35
23190,Q103299,Norbert Kuchinke,German journalist and actor,Male,Germany,Artist,1940,2013,natural causes,73
23254,Q103426,Johann Fortner,German general,Male,Germany,Military personnel,1884,1947,capital punishment,63
23330,Q103619,Paul Grottkau,American political activist,Male,United States,Journalist,1846,1898,natural causes,52
23344,Q103651,Glenn Miller,"American big band musician, arranger, composer and bandleader (1904-1944)",Male,United States,Artist,1904,1944,accident,40
23365,Q103702,Ruth Stephan,German actress,Female,Germany,Artist,1925,1975,natural causes,50
23382,Q103751,Inga Abel,German actress (1946-2000),Female,Germany,Artist,1946,2000,natural causes,54
