Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q34453,Boris Yeltsin," and Russian politician, 1st President of Russia (1931-2007)",Male,Russia,[1930-1960],[1990-2019],natural causes,[72-99]
Q34474,Aleksandr Solzhenitsyn,Russian writer,Male,Russia,[1900-1930],[1990-2019],natural causes,[72-99]
Q34479,Hirohito,Emperor of Japan from 1926 to 1989,Male,Japan,[1900-1930],[1960-1990],natural causes,[72-99]
Q34670,Albert Camus,Algerian-French author and journalist (1913-1960),Male,France,[1900-1930],[1960-1990],accident,[44-72]
Q34851,Elizabeth Taylor,British-American actress businessperson and humanitarian,Female,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q34933,Eric Hobsbawm,British academic historian and Marxist historiographer,Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[72-99]
Q34981,Isaac Asimov,American writer and professor,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q35851,Bill Hicks,American comedian,Male,United States,[1960-1990],[1990-2019],natural causes,[16-44]
Q35892,Petar Drapšin,yugoslav Partisan commander,Male,Yugoslavia,[1900-1930],[1930-1960],accident,[16-44]
Q36105,Charles Bronson,American film and television actor (1921-2003),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q36107,Muhammad Ali,"American boxer, philanthropist and activist",Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q36111,Mate Boban,Bosnian Croat politician (1940-1997),Male,Bosnia and Herzegovina,[1930-1960],[1990-2019],natural causes,[44-72]
Q36232,Angela Devi,American adult model,Female,United States,[1960-1990],[1990-2019],suicide,[16-44]
Q36233,Václav Havel,"playwright, essayist, poet, former dissident and 1st President of the Czech Republic (1936-2011)",Male,Czech Republic,[1930-1960],[1990-2019],natural causes,[72-99]
Q36245,Roger Boisjoly,American aerospace engineer,Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q36789,Henry Lee Lucas,American serial killer,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q36804,Eazy-E,American rapper,Male,United States,[1960-1990],[1990-2019],complication,[16-44]
Q36813,Mikhail Pavlov,Belarusian politician (1952-2010),Male,Belarus,[1930-1960],[1990-2019],natural causes,[44-72]
Q36843,Walter Gross,German physician and  politician (1904-1945),Male,Germany,[1900-1930],[1930-1960],suicide,[16-44]
Q36951,Sándor Márai,Hungarian writer,Male,Hungary,[1900-1930],[1960-1990],suicide,[72-99]
Q36980,George Peppard,American actor,Male,United States,[1900-1930],[1990-2019],natural causes,[44-72]
Q37060,José Saramago,Portuguese writer and recipient of the 1998 Nobel Prize in Literature,Male,Portugal,[1900-1930],[1990-2019],natural causes,[72-99]
Q37278,John Paul I,263rd Pope of the Catholic Church,Male,Italy,[1900-1930],[1960-1990],natural causes,[44-72]
Q37571,Jackson Pollock,American artist (1912-1956),Male,United States,[1900-1930],[1930-1960],accident,[44-72]
Q37615,Luciano Pavarotti,Italian operatic tenor,Male,Italy,[1930-1960],[1990-2019],natural causes,[72-99]
Q37753,Martin Moynihan,American evolutionary biologist and ornithologist (1928–1996),Male,United States,[1900-1930],[1990-2019],natural causes,[44-72]
Q38302,Wolf Albach-Retty,Austrian actor,Male,Austria,[1900-1930],[1960-1990],natural causes,[44-72]
Q38670,Richard Corliss,American editor for Time Magazine,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q38804,Kim Yong-chun,North Korean military leader (1936-2018),Male,North Korea,[1930-1960],[1990-2019],natural causes,[72-99]
Q39246,Richard Feynman,American theoretical physicist (1918-1988),Male,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q39301,Wilfried Dietrich,West German wrestler,Male,Germany,[1930-1960],[1990-2019],natural causes,[44-72]
Q39419,Allene Ray,American actress (1901-1979),Female,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q39524,Gamal Abdel Nasser,second president of Egypt (1918-1970),Male,Egypt,[1900-1930],[1960-1990],natural causes,[44-72]
Q39963,Park Kyung-ni,Korean writer,Female,South Korea,[1900-1930],[1990-2019],natural causes,[72-99]
Q39972,Ed Lauter,American film and television actor (1938-2013),Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q40299,Nelsan Ellis,American film and television actor and playwright (1977-2017),Male,United States,[1960-1990],[1990-2019],natural causes,[16-44]
Q40421,Miroslav Dvořák,Czechoslovak professional ice-hockey defenseman,Male,Czech Republic,[1930-1960],[1990-2019],natural causes,[44-72]
Q40475,Joan Crawford,American actress (1904-1977),Female,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q40531,John Wayne,American actor (1907–1979),Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q40701,Joseph Strick,"American director, producer and screenwriter",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q40904,Werner Heisenberg,German theoretical physicist,Male,Germany,[1900-1930],[1960-1990],natural causes,[72-99]
Q40912,Frank Sinatra,American recording artist; singer and film actor (1915-1998),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q40933,Eva Perón,Argentinian actress and politician (1919-1952),Female,Argentina,[1900-1930],[1930-1960],natural causes,[16-44]
Q41042,Harold Pinter,English playwright (1930-2008),Male,United Kingdom,[1930-1960],[1990-2019],natural causes,[72-99]
Q41117,Kim Il-sung,President of the Democratic People's Republic of Korea (1912-1994),Male,North Korea,[1900-1930],[1990-2019],natural causes,[72-99]
Q41129,Germán Valdés,Mexican comedian,Male,Mexico,[1900-1930],[1960-1990],natural causes,[44-72]
Q41130,Jorge Ibargüengoitia,Mexican writer,Male,Mexico,[1900-1930],[1960-1990],accident,[44-72]
Q41136,Arthur Penn,American producer and director,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q41314,Bobby Fischer,American chess player and chess writer,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q41342,Mary Tyler Moore,American actress and television producer (1936-2017),Female,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q41590,Mircea Eliade,"Romanian-American historian, philosopher and professor at the University of Chicago.",Male,Romania,[1900-1930],[1960-1990],natural causes,[72-99]
Q41617,Liu Xiaobo,"Chinese literary critic, professor, and human rights activist",Male,China,[1930-1960],[1990-2019],natural causes,[44-72]
